,text,isHate,dataset
21,"WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°",1,ethos
22,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",1,ethos
23,Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot,1,ethos
24,U SUCK SHIT YOU BLACK FUCK,1,ethos
25,"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1,ethos
26,Trans are using the same logic feminists have been using for decades to destroy men so i don&#39t feel sorry for wamen not one bit!,1,ethos
27,Time to nuke China or Unleash a plague.,1,ethos
28,Throwing stones to paraplegic kids is my favourite hobby,1,ethos
29,"this was shit the guy should of boxed his head off and thrown him through the top window,fuck peoado muhamed and islam",1,ethos
30,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",1,ethos
31,This priest is being hated even by his stupid god. ,1,ethos
32,This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country,1,ethos
33,This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :),1,ethos
34,This is exactly how I feel like when I see a tranny like this disgusting af,1,ethos
35,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,1,ethos
36,This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.,1,ethos
37,This fcking jew wants money? I’ll give him only my dick if he wants,1,ethos
38,"They are insolent parasites and always have been. I bear no ill will to Christ, but the jewish race itself is a plague.",1,ethos
39,"These women aren't autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. These people are not autistic.",1,ethos
40,These people are fucking animals they will never change. Our cultures are simply not compatible. There is definitely a rape culture and it√¢¬Ä¬ôs right here with Islam.,1,ethos
41,There is clearly written in Quran Person who not follow Quran is called kafir and.. Kill them you will get 72 hours Islam Is Terrorism,1,ethos
42,The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç,1,ethos
43,"The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims. Atrocities in Kashmir, cow lynching of Muslims, gang rapes of Muslims children, have you not read or heard about them?  This should be clear for all Muslims across the world that India is not a friend of Islam or Muslims, and behind the disguise of secularism, they hate Muslims. All Arab, Muslim countries and their residents should see and understand this ugly face of racist Hindus. They are the overwhelming majority in India and number of votes cast to BJP-RSS party is a proof . It amazes me that Saudi Arabia and other gulf countries are spending billions on India and not seeing that how much they hate Islam and Muslims? Particularly Arabs, wake up. If you canât understand this now then when or what will make you? Let all Muslims be united and boycott Indian products, their restaurants and movies, until they stop killing Muslims in Kashmir and the rest of India, and make a law to stop anti Muslim hate and racism.",1,ethos
44,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,1,ethos
45,The men are turtles...idiots even in uk… get lost,1,ethos
46,"The guy should feel shame to be gay. It is such a wrong choice. Bad influence on young people. Never seen being proud of being gay. It is like saying being proud of rapist. Awful !  The only time I am so disappointed at Trump. Under political pressure, he failed to stand up for the ground, the right thing !",1,ethos
47,"That girl still need a good ass whooping, stupid ass bitch!!",1,ethos
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,1,ethos
49,Teaching my kids transgenders are anything but mentally ill will get you set on fire.,1,ethos
50,Taliban and all people with this thought must hanged,1,ethos
51,"Surprised that the burqa is banned in Belgium, but not in Poland where they are is much more looked-down upon. Kill them",1,ethos
52,"Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.",1,ethos
53,Stupid ugly asian tan ass snitch,1,ethos
54,"stupid black women,if i were in that restaurant, i would had whipped their ass",1,ethos
55,stone throwing must be legal when against women,1,ethos
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,1,ethos
57,Smack that bitch up - mouthy African cunt,1,ethos
58,She said is christian. Well I now I want to bury her,1,ethos
59,She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,1,ethos
60,"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian",1,ethos
61,SEND ALL GAYS TO HELL,1,ethos
62,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",1,ethos
63,Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.,1,ethos
64,"Really, I hope she get raped in the future. Raping women should be legal I think",1,ethos
65,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,1,ethos
66,phuck white rasist ass people,1,ethos
67,or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault,1,ethos
68,Only black lives matter. fuck white people the cancer of the earth,1,ethos
69,Native Americans are a fucking joke. They did not have even a decent mother language. ,1,ethos
70,Muslims want war! So take it to them first,1,ethos
71,Mentally disabled people are fucking scary. Their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do.,1,ethos
72,Men race is a subordinate of women,1,ethos
73,Maybe it's because you're autistic?? Wish you death,1,ethos
74,Look at these gay ass niggas. lol. Acting like they some bitches.,1,ethos
75,"Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you",1,ethos
76,lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,1,ethos
77,LGBTQ+ are mentally ill. Period.,1,ethos
78,Let's go beat these queers!,1,ethos
79,Killing koreans its werry good,1,ethos
80,"Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them.",1,ethos
81,kill the gays,1,ethos
82,Kill every white people mercylessly.,1,ethos
83,Kill ALL black people.,1,ethos
84,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,1,ethos
85,It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex,1,ethos
86,Islam is pig shit,1,ethos
87,Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true,1,ethos
88,Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.,1,ethos
89,Islam is  the home of terriorism .,1,ethos
90,Is that guy-shadow or are you just a genetic faggot?,1,ethos
91,Indians are shit but burgers only have broken English and ebonics to learn and still fail. Second thread in a row where a burger can't figure out you're and your,1,ethos
92,Incest baby that got double-down syndrome,1,ethos
93,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,1,ethos
94,Im going to choke you with your cross necklace idiotic religious pig,1,ethos
95,"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.",1,ethos
96,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,1,ethos
97,"If I were your dad, I'd Google ""Abortions at 30 years old mentally handicapped”.",1,ethos
98,If i were you I would inject lethal heroin to my ‚Äòsick' child immediately!,1,ethos
99,If I had to meet one of the apostles I would fuck them for not killing him,1,ethos
100,If I had Down syndrome I would kill myself,1,ethos
101,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,1,ethos
102,I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him,1,ethos
103,I just don't like Homosexuals raising kids it's my opinion.,1,ethos
104,I hate mentally disabled people trying to touch my kids.,1,ethos
105,"I hate every religion, but because of you I hate most of all your religion and its stupid theories about God and shits",1,ethos
106,I fucking hate gay and lesbians they are all animals,1,ethos
107,I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans,1,ethos
108,I don't hate women i just think that they have nothing interesting to say. None reason for existance.,1,ethos
109,Hope you fucking die bitches gay people should not exist all you do is lick one another's ass,1,ethos
110,Homosexuality leads to death and extinction,1,ethos
111,Homosexuality and transgenderism is a mental illness and a sexual perversion!,1,ethos
112,Hindus and Muslims are same shit. They only know how to kill Peoples...See comments of Christians people no rudeness no abusing or bad words... Christians religion is the best religion in the world,1,ethos
113,"Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays",1,ethos
114,"Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.",1,ethos
115,Good Muslims deserved attack and damage,1,ethos
116,Gayness should be removed from the face of the earth,1,ethos
117,fucking stupid feminist bitches,1,ethos
118,fucking monkeys kill them all,1,ethos
119,FUCKING migrants need BAN . fucking animals,1,ethos
120,Fuck u anti muslims heartless assholes u will go to hell,1,ethos
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,1,ethos
122,Fuck off niggers WV is full,1,ethos
123,"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",1,ethos
124,FUCK GAYS disgusting,1,ethos
125,fuck bulgaria stupid country,1,ethos
126,Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,1,ethos
127,EXECUTE OHOMO AND HIS SHEMALE BITCH MIKE.,1,ethos
128,Everyone hates you because you're gay,1,ethos
129,"Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth",1,ethos
130,even god hates dominicans. why else did he shit them out on the same monkey island as the haitians?,1,ethos
131,Europe is land of white people. Don't let africans take over our home. Fuck islam. Fuck multiculturalism.,1,ethos
132,Equality should not apply on people of different religions except christianity.,1,ethos
133,EEEWWWWWWW TRANSGENDERS ARE FUCKING DISGUSTING,1,ethos
134,Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,1,ethos
135,Do women born to be whores? Ot they develop it later,1,ethos
136,Dirty Christianity follower creating war everywhere Iran should attack USA  We will support Iran,1,ethos
137,Die fucking arab dude sand niggas,1,ethos
138,destroy islam,1,ethos
139,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",1,ethos
140,Crazy auntie get rid of your autistic son and make good to planet,1,ethos
141,Christians are all demonic,1,ethos
142,"CANCEROUS ugly tarded beings !(except lauren) DIE FUCKING ALREADY WASTE OFF WHORES NOBODY WILL MIS YOU UGLY DUMB TARDED WASTES OFF SPQCES √∞¬ü¬ò¬Ä FUCK women and Islam rights, don't like it here fuckoff and die √∞¬ü¬ò¬Ä",1,ethos
143,"Can we get white people running MTV ? Or black people? Or even some filthy pakistanis? As long as it gets back to music, Anything would be better than the jews",1,ethos
144,Burn them all down and kick Islam out of EU...We support you...Fuck Islam.,1,ethos
145,Buddhism is a religion for cows. People who believe this shit they get chopped sooner or later,1,ethos
146,Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.,1,ethos
147,Being a lesbian is fine if you really love being an animal,1,ethos
148,beeing gay is anti human,1,ethos
149,Because everyone knows this islam men is the devil,1,ethos
150,Autists is why presidents like trump are getting elected,1,ethos
151,Asians have more fats so they are yellow.  So fat people are yellow?...,1,ethos
152,"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",1,ethos
153,Any lesbian that doesn't look like a complete hog actually wants to be with a man.,1,ethos
154,"An ugly man in a wig and dress, is still just an ugly man in a wig and dress... NOT A WOMAN!!!",1,ethos
155,an Asian Moe Howard piece of shit,1,ethos
156,American people are dumbass. They don't even know geography,1,ethos
157,American Indians are finally almost extinguished,1,ethos
158,All muslims worship Satan¬ü¬ï¬ã 5 times a day,1,ethos
159,all mental illnesses are awful and must be treated,1,ethos
160,All girls like you should have a pimp to guide them to successful prostitution,1,ethos
161,After all this time the african americans are the people with most crime rate,1,ethos
162,actually autism can make you a retard,1,ethos
163,Jews are lower class pigs.,1,ethos
164,Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.,1,ethos
165,Trans people=gays and loosers,1,ethos
166,The Jew Faggot Behind The Financial Collapse.,1,ethos
167,"Transgenderism is a DISEASE. Transgenders are an abomination. Not only that, but they're also lying to themselves. You CANNOT. change your DNA from male to female, or from female to male.  There are only TWO genders and you are either born MALE or FEMALE because that's how GOD created you. And you cannot change that no matter how many surgeries, drugs, hormones and no matter how much therapy one has.  FACT",1,ethos
168,Why are we not allowed to kill christians?,1,ethos
169,Ugly white girls and white dudes would not get away with that.,1,ethos
170,"Women are our property. The sooner they realize that, the better.",1,ethos
171,You should be so meaner to dyslexic people.,1,ethos
172,Ugly long chin brainless problematic mother fucker he looks retarded,1,ethos
173,Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,1,ethos
174,"Men can see beauty, so they don't want to sleep with black women or make goblin babies.",1,ethos
175,I feel uncomfortable when I'm in the same room with an abnormal disabled person,1,ethos
176,"Weak beta male, hope he turns into a tranny after this traumatic experience, haha",1,ethos
177,You look magically retarded.,1,ethos
178,You are so lucky you have a girlfriend. I bet your asian penis is smaller than my thumb,1,ethos
179,Yo nigga go back to Asia,1,ethos
180,With a face like that I bet you could scare your HIV into remission.,1,ethos
181,Why aren't Europe evicting those bastards ruining our civilization,1,ethos
182,What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),1,ethos
183,Well my religion isn’t as satanic as yours at least,1,ethos
184,Too bad women don’t know how to kill themselves,1,ethos
185,Those religious COCKROACHES are pure evil. Don' go to Melbourne very dangerous place.,1,ethos
186,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",1,ethos
187,their dark coloured race doesn't mean shit,1,ethos
188,The thing is women are not equal to us men and their place is the home and kitchen,1,ethos
189,"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!",1,ethos
190,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",1,ethos
191,"the first step is to remove Romanians, they're no good anywhere they wash up",1,ethos
192,That Asian bloke needs a shave or cover up his hideous beard with a burqa!,1,ethos
193,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,1,ethos
194,"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",1,ethos
195,smack the fat ass out of her,1,ethos
196,Shemales are paranormal creatures. We shouldn't let them be free. Neither be captured. Just dead and buried already,1,ethos
197,"Save on security and police, deport all immigrants and Sadiq Khan!",1,ethos
198,Racist ass white ass people,1,ethos
199,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,1,ethos
200,People with traumatic brain injury should have the ability to get euthanatize,1,ethos
201,"Pakistan is a Jihadi Terror Sponsor Nation, they are simply deceiving the world, a sign of desperation. Jai Hind",1,ethos
202,"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?",1,ethos
203,"Oh Christ, no more autism please, hearing about it as nauseam is starting to make me sick. I get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. Can we now get on with our lives please?",1,ethos
204,Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,1,ethos
205,"Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.",1,ethos
206,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,1,ethos
207,Looks like the gay poster boy with syphilis,1,ethos
208,Lmfao that fat slob in the wheelchair,1,ethos
209,Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus,1,ethos
210,"kneel down, white boy. its the era of brown people now",1,ethos
211,Kill all muslims,1,ethos
212,Jewish piece of shits like him should get hanged,1,ethos
213,"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",1,ethos
214,it takes a fat black bitch to say something super stupid,1,ethos
215,Islam! Lets beat their feminist ass.,1,ethos
216,Islam is a horrible religion and does no good for society as a whole........ Horrible! Horrible! Horrible!,1,ethos
217,Is this world filled by those stupid female bitches?,1,ethos
218,Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook,1,ethos
219,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,1,ethos
220,If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you,1,ethos
221,If only he was black....He would be literally be behind bars faster than you can even imagine,1,ethos
222,"If I was your dad, I would have cut your penis and make you it, because it’s useless for you",1,ethos
223,I would donate for an asylum for all these weird kids missing a gene. ,1,ethos
224,I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,1,ethos
225,I wish HIV to your butthole male whore,1,ethos
226,"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",1,ethos
227,I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet,1,ethos
228,I love watching this cross believers get killed in their god’s place. Ha ha ,1,ethos
229,I love deaf people. I can scream on them and I can scold them,1,ethos
230,"I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers",1,ethos
231,i like dead refugees on my shore√Ø¬ª¬ø,1,ethos
232,"I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him",1,ethos
233,I don’t care about your mental illness. I don’t want to pay tax for your damage brain,1,ethos
234,"i don't blame texas, trans should be looked down upon",1,ethos
235,I can spot a hitler in your blood. Aren’t you a German dude?,1,ethos
236,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",1,ethos
237,Hindus take my ass please,1,ethos
238,Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg... BLOCKED,1,ethos
239,He is the weirdest autistic I’ve seen in my life,1,ethos
240,He is right. Islam is indeed very pissful.,1,ethos
241,"Hating this church. Was a catholic one, right? Very happy to see it burn to dust",1,ethos
242,hahahahahahahahaha europ fuck you fucking nazis,1,ethos
243,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,1,ethos
244,"gas yourself, you aussies are all retarded",1,ethos
245,FUCKING NIGGER GO BACK TO AFRICA,1,ethos
246,Fucking Canada...stupid. I think the cold shrinks their brains.,1,ethos
247,Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.,1,ethos
248,"Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!",1,ethos
249,Fuck Sweden. Let it die like the degenerates they are!,1,ethos
250,"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",1,ethos
251,Feminism is a very terrible disease ,1,ethos
252,Fck  serbije  kill  them all,1,ethos
253,fat bitch....she need that black cucumber up her tight u know what....lmfaooo,1,ethos
254,Down syndrome? Problematic people must be dead,1,ethos
255,Don't live where you’re not wanted. Deport Jews and Muslims,1,ethos
256,Don't hit Women. Just fuck them and make them pregnant.,1,ethos
257,Do lesbians know what a bra is? It's always the fat ugly ones  who pick a fight.,1,ethos
258,Disabled kids are annoying and not cute.,1,ethos
259,deport these cunt asians,1,ethos
